analysis        sr      signal_normevents  signal_err_tot  
cms_sus_16_039  SS12    0.0                0               
cms_sus_16_039  SS13    0.0                0               
cms_sus_16_039  SS14    0.0                0               
cms_sus_16_039  SS15    0.0                0               
cms_sus_16_039  SS16    0.0                0               
cms_sus_16_039  SS17    0.0                0               
cms_sus_16_039  SS18    0.0                0               
cms_sus_16_039  SS19    0.0                0               
cms_sus_16_039  SS20    0.0                0               
cms_sus_16_039  SS21    0.0                0               
cms_sus_16_039  SS22    0.0                0               
cms_sus_16_039  SS23    0.0                0               
cms_sus_16_039  SS24    0.0                0               
cms_sus_16_039  SS25    0.0                0               
cms_sus_16_039  SS26    0.0                0               
cms_sus_16_039  SS27    0.0                0               
cms_sus_16_039  SS28    0.0                0               
cms_sus_16_039  SS29    0.0                0               
cms_sus_16_039  SS30    0.0                0               
