analysis        sr      o       b       db      s              ds             s95obs  s95exp  robscons       rexpcons       
cms_sus_16_039  SR_C10  0.001   3.2     0.7     0.0            3.59014338239  3.0     5.1     0              0              
cms_sus_16_039  SR_C11  1.0     1.5     0.6     2726.24        1946.92518207  3.5     4.0     0              0              
cms_sus_16_039  SR_C12  223.0   231.0   65.0    1363.12        1369.9189286   95.8    99.4    0              0              
cms_sus_16_039  SR_C13  32.0    41.0    11.0    0.0            3.59014338239  15.4    19.3    0              0              
cms_sus_16_039  SR_C14  6.0     11.0    4.0     0.0            3.59014338239  5.9     8.5     0              0              
cms_sus_16_039  SR_C15  1.0     2.7     1.1     0.0            3.59014338239  3.5     4.9     0              0              
cms_sus_16_039  SR_C16  3.0     2.9     1.0     0.0            3.59014338239  5.3     5.3     0              0              
cms_sus_16_039  SR_C17  10.0    8.8     2.0     0.0            3.59014338239  9.4     8.3     0              0              
cms_sus_16_039  SR_C18  1.0     1.9     0.7     0.0            3.59014338239  3.6     4.3     0              0              
cms_sus_16_039  SR_D01  126.0   140.0   40.0    0.0            3.59014338239  53.4    59.9    0              0              
cms_sus_16_039  SR_D02  37.0    41.0    12.0    0.0            3.59014338239  19.7    22.7    0              0              
cms_sus_16_039  SR_D03  7.0     8.7     2.7     0.0            3.59014338239  6.9     8.3     0              0              
cms_sus_16_039  SR_D04  2.0     2.7     1.1     0.0            3.59014338239  4.4     5.1     0              0              
cms_sus_16_039  SR_D05  1.0     2.3     0.9     0.0            3.59014338239  3.4     4.6     0              0              
cms_sus_16_039  SR_D06  102.0   117.0   32.0    0.0            3.59014338239  42.0    48.0    0              0              
cms_sus_16_039  SR_D07  24.0    35.0    10.0    0.0            3.59014338239  11.9    16.7    0              0              
cms_sus_16_039  SR_D08  4.0     7.8     2.5     0.0            3.59014338239  5.0     7.0     0              0              
cms_sus_16_039  SR_D09  1.0     2.9     1.2     0.0            3.59014338239  3.5     5.0     0              0              
cms_sus_16_039  SR_D10  1.0     1.4     0.6     0.0            3.59014338239  3.7     3.9     0              0              
cms_sus_16_039  SR_D11  21.0    32.0    10.0    0.0            3.59014338239  11.7    15.6    0              0              
cms_sus_16_039  SR_D12  7.0     11.0    4.0     0.0            3.59014338239  6.7     9.1     0              0              
cms_sus_16_039  SR_D13  7.0     3.7     1.5     0.0            3.59014338239  9.8     6.9     0              0              
cms_sus_16_039  SR_D14  0.001   3.0     1.2     0.0            3.59014338239  3.0     4.8     0              0              
cms_sus_16_039  SR_D15  1.0     1.4     0.7     0.0            3.59014338239  3.5     4.0     0              0              
cms_sus_16_039  SR_D16  0.001   0.06    0.05    0.0            3.59014338239  2.94    2.92    0              0              
cms_sus_16_039  SR_E01  56.0    40.0    7.0     0.0            3.59014338239  33.3    20.7    0              0              
cms_sus_16_039  SR_E02  12.0    9.4     2.2     0.0            3.59014338239  10.8    8.7     0              0              
cms_sus_16_039  SR_E03  3.0     5.0     1.5     0.0            3.59014338239  4.7     6.0     0              0              
cms_sus_16_039  SR_E04  0.001   0.95    0.32    0.0            3.59014338239  3.06    3.01    0              0              
cms_sus_16_039  SR_E05  1.0     0.89    0.32    0.0            3.59014338239  3.63    3.17    0              0              
cms_sus_16_039  SR_E06  28.0    34.0    6.0     0.0            3.59014338239  12.3    15.6    0              0              
cms_sus_16_039  SR_E07  9.0     4.8     1.2     0.0            3.59014338239  11.0    6.8     0              0              
cms_sus_16_039  SR_E08  1.0     2.2     0.9     0.0            3.59014338239  3.5     4.5     0              0              
cms_sus_16_039  SR_E09  1.0     0.7     0.4     0.0            3.59014338239  3.7     3.3     0              0              
cms_sus_16_039  SR_E10  0.001   0.73    0.32    0.0            3.59014338239  3.0     2.97    0              0              
cms_sus_16_039  SR_E11  4.0     5.4     1.5     0.0            3.59014338239  5.2     6.4     0              0              
cms_sus_16_039  SR_E12  4.0     4.9     1.4     0.0            3.59014338239  5.6     6.2     0              0              
